Date,Value
2021-06-05,1.4164493533335E+20
2021-06-06,1.4929736016574E+20
2021-06-07,1.4668699738383E+20
2021-06-08,1.4881729185309E+20
2021-06-09,1.6223776534072E+20
2021-06-10,1.1446047973155E+20
2021-06-11,1.1521324711207E+20
2021-06-12,1.2688306226891E+20
2021-06-13,1.2821357157366E+20
2021-06-14,1.42482536842E+20
2021-06-15,1.3200455026254E+20
2021-06-16,1.1943896196302E+20
2021-06-17,1.2899986246799E+20
2021-06-18,1.2984773311861E+20
2021-06-19,1.0988416791427E+20
2021-06-20,1.0518706917708E+20
2021-06-21,1.0260586522078E+20
2021-06-22,1.0066232415846E+20
2021-06-23,9.6191870167657E+19
2021-06-24,9.9528169963663E+19
2021-06-25,1.0662818135775E+20
2021-06-26,1.0104267799581E+20
2021-06-27,7.5666166717067E+19
2021-06-28,6.8008841754919E+19
2021-06-29,9.511625633448E+19
2021-06-30,8.7845348160399E+19
2021-07-01,8.8275411675749E+19
2021-07-02,9.9220027626164E+19
2021-07-03,7.752639081445E+19
2021-07-04,9.1709664817128E+19
2021-07-05,8.8469049084089E+19
2021-07-06,9.587706394068E+19
2021-07-07,9.8845469071479E+19
2021-07-08,9.1761634965565E+19
2021-07-09,9.6718957417981E+19
2021-07-10,1.0725258765944E+20
2021-07-11,9.8259229423745E+19
2021-07-12,8.9822102671749E+19
2021-07-13,9.3228712684649E+19
2021-07-14,1.0879963517089E+20
2021-07-15,1.0648710803952E+20
2021-07-16,1.0220593489027E+20
2021-07-17,1.0924439968164E+20
2021-07-18,9.7185384983432E+19
2021-07-19,1.0143287645526E+20
2021-07-20,1.021523953792E+20
2021-07-21,9.393770657224E+19
2021-07-22,9.915568450347E+19
2021-07-23,9.5438809731566E+19
2021-07-24,1.0122920293208E+20
2021-07-25,1.0335015740672E+20
2021-07-26,1.087735794047E+20
2021-07-27,1.0393837138338E+20
2021-07-28,1.1549170197824E+20
2021-07-29,1.0248267488663E+20
2021-07-30,1.159762520028E+20
2021-07-31,1.1481762969153E+20
2021-08-01,1.1658311921269E+20
2021-08-02,1.0134105858211E+20
2021-08-03,1.1695420410796E+20
2021-08-04,1.0749825942986E+20
2021-08-05,1.0747992351899E+20
2021-08-06,1.1724335413011E+20
2021-08-07,1.1557943195515E+20
2021-08-08,1.1816027544311E+20
2021-08-09,1.146496700011E+20
2021-08-10,1.1457783072665E+20
2021-08-11,1.1591033368463E+20
2021-08-12,1.0392089133236E+20
2021-08-13,1.1348879736192E+20
2021-08-14,1.1935338799911E+20
2021-08-15,1.313316734037E+20
2021-08-16,1.3624522229841E+20
2021-08-17,1.2773024579115E+20
2021-08-18,1.2097911590653E+20
2021-08-19,1.0919267346732E+20
2021-08-20,1.2787980290042E+20
2021-08-21,1.2622505143498E+20
2021-08-22,1.2871555452411E+20
2021-08-23,1.3394247788029E+20
2021-08-24,1.4253036884522E+20
2021-08-25,1.2856916976133E+20
2021-08-26,1.3284473189946E+20
2021-08-27,1.3174211453143E+20
2021-08-28,1.2800528709002E+20
2021-08-29,1.323511055488E+20
2021-08-30,1.2569876133456E+20
2021-08-31,1.2349163436803E+20
2021-09-01,1.1918772680881E+20
2021-09-02,1.2722919226464E+20
2021-09-03,1.2969905858298E+20
2021-09-04,1.3516769793715E+20
2021-09-05,1.4079488137404E+20
2021-09-06,1.4623193737171E+20
2021-09-07,1.444664157732E+20
2021-09-08,1.3367930616898E+20
2021-09-09,1.2857861668583E+20
2021-09-10,1.2964841376524E+20
2021-09-11,1.2808424998815E+20
2021-09-12,1.3486726395475E+20
2021-09-13,1.4004810238983E+20
2021-09-14,1.5551719497901E+20
2021-09-15,1.3302830209149E+20
2021-09-16,1.302297111233E+20
2021-09-17,1.272835239381E+20
2021-09-18,1.4285050981775E+20
2021-09-19,1.4849890652169E+20
2021-09-20,1.4604032219956E+20
2021-09-21,1.3717088820967E+20
2021-09-22,1.1936092989161E+20
2021-09-23,1.4094749662114E+20
2021-09-24,1.4549406113215E+20
2021-09-25,1.4707585234954E+20
2021-09-26,1.2729892111956E+20
2021-09-27,1.3898415495681E+20
2021-09-28,1.4741395182176E+20
2021-09-29,1.3597528787825E+20
2021-09-30,1.3837365018574E+20
2021-10-01,1.5264349140074E+20
2021-10-02,1.5737046704324E+20
2021-10-03,1.5903195530731E+20
2021-10-04,1.3685713655236E+20
2021-10-05,1.6347172348832E+20
2021-10-06,1.5446604000279E+20
2021-10-07,1.2581287323418E+20
2021-10-08,1.3096368515573E+20
2021-10-09,1.3416662049959E+20
2021-10-10,1.5473250819391E+20
2021-10-11,1.5021380912023E+20
2021-10-12,1.4335862193331E+20
2021-10-13,1.4387211670446E+20
2021-10-14,1.5504917156443E+20
2021-10-15,1.4078004258065E+20
2021-10-16,1.3628365149165E+20
2021-10-17,1.4384346842776E+20
2021-10-18,1.5709753678653E+20
2021-10-19,1.3927880207166E+20
2021-10-20,1.6356295003427E+20
2021-10-21,1.4531212223454E+20
2021-10-22,1.518776317946E+20
2021-10-23,1.6176305123299E+20
2021-10-24,1.3955923828864E+20
2021-10-25,1.7271318028276E+20
2021-10-26,1.6590040729905E+20
2021-10-27,1.4735203849539E+20
2021-10-28,1.635483856588E+20
2021-10-29,1.6280836570086E+20
2021-10-30,1.6269098557827E+20
2021-10-31,1.4929236565431E+20
2021-11-01,1.5298502107131E+20
2021-11-02,1.6210938474657E+20
2021-11-03,1.7609947194426E+20
2021-11-04,1.5999280137582E+20
2021-11-05,1.6103054401846E+20
2021-11-06,1.7131400014067E+20
2021-11-07,1.6152536226041E+20
2021-11-08,1.6703496590478E+20
2021-11-09,1.4611972658667E+20
2021-11-10,1.6309880171295E+20
2021-11-11,1.7075097133069E+20
2021-11-12,1.5827036347697E+20
2021-11-13,1.5762666826395E+20
2021-11-14,1.7530274373966E+20
2021-11-15,1.7510989797729E+20
2021-11-16,1.6950320657184E+20
2021-11-17,1.701970758951E+20
2021-11-18,1.6427263777907E+20
2021-11-19,1.6370496433594E+20
2021-11-20,1.5742811665588E+20
2021-11-21,1.5381493894114E+20
2021-11-22,1.5750052044477E+20
2021-11-23,1.558209901224E+20
2021-11-24,1.6652598117929E+20
2021-11-25,1.6232554205425E+20
2021-11-26,1.3824984058213E+20
2021-11-27,1.628518175264E+20
2021-11-28,1.4915489089804E+20
2021-11-29,1.6081748481813E+20
2021-11-30,1.6254684019149E+20
2021-12-01,1.4549618906217E+20
2021-12-02,1.663743736711E+20
2021-12-03,1.7941963273089E+20
2021-12-04,1.8213733377488E+20
2021-12-05,1.7614109350407E+20
2021-12-06,1.8067072262008E+20
2021-12-07,1.8051924972221E+20
2021-12-08,1.9141559286984E+20
2021-12-09,1.7656453596395E+20
2021-12-10,1.7855005823538E+20
2021-12-11,1.8090976367134E+20
2021-12-12,1.7660029803957E+20
2021-12-13,1.7271032783502E+20
2021-12-14,1.7356817175832E+20
2021-12-15,1.6917082129154E+20
2021-12-16,1.6602274334316E+20
2021-12-17,1.5719548636558E+20
2021-12-18,1.6204822958987E+20
2021-12-19,1.7207328434424E+20
