Date,HashRate
2018-05-23,3.2469304890011E+14
2018-05-24,3.4288369655172E+14
2018-05-25,3.1805346874777E+14
2018-05-26,3.1031632795348E+14
2018-05-27,3.1234242763409E+14
2018-05-28,3.1205344380089E+14
2018-05-29,3.1121302458853E+14
2018-05-30,2.9510910083853E+14
2018-05-31,2.8473315603922E+14
2018-06-01,2.9507580409817E+14
2018-06-02,2.9340210761481E+14
2018-06-03,2.8964721844063E+14
2018-06-04,2.8781958444471E+14
2018-06-05,3.0881977574967E+14
2018-06-06,3.2098679852973E+14
2018-06-07,3.2964255307165E+14
2018-06-08,3.3096027758362E+14
2018-06-09,3.059770134251E+14
2018-06-10,3.23943213052E+14
2018-06-11,3.0233768549932E+14
2018-06-12,3.1611485407157E+14
2018-06-13,3.2927316008598E+14
2018-06-14,3.0790037066413E+14
2018-06-15,2.9876964641862E+14
2018-06-16,2.9722313710302E+14
2018-06-17,3.1915340023445E+14
2018-06-18,3.0335364121124E+14
2018-06-19,3.0269418553929E+14
2018-06-20,2.9999875392541E+14
2018-06-21,3.0249569083783E+14
2018-06-22,3.0968092813859E+14
2018-06-23,2.9817670836835E+14
2018-06-24,2.9230012293822E+14
2018-06-25,3.0390412035629E+14
2018-06-26,2.9553173276838E+14
2018-06-27,273841798223682
2018-06-28,2.657361822342E+14
2018-06-29,2.8729751890817E+14
2018-06-30,3.0481677515395E+14
2018-07-01,2.8066020165175E+14
2018-07-02,2.657389645469E+14
2018-07-03,2.626199862667E+14
2018-07-04,259151230445432
2018-07-05,2.6685297464801E+14
2018-07-06,2.5831476826816E+14
2018-07-07,2.7632984253005E+14
2018-07-08,2.7302739808486E+14
2018-07-09,2.9324999322943E+14
2018-07-10,2.6728117578818E+14
2018-07-11,2.5891573110547E+14
2018-07-12,2.7580810536776E+14
2018-07-13,2.6772792175705E+14
2018-07-14,2.7168283368726E+14
2018-07-15,2.7842166389144E+14
2018-07-16,2.9277207662973E+14
2018-07-17,3.0328577109336E+14
