Date,Emissions(g)
2011-10-07,0.0003659805418847319
2011-10-08,6.0192801352427485e-05
2011-10-12,0.0004000523324848245
2011-10-13,31.555074409765197
2011-10-14,45.00611143535834
2011-10-15,41.5817278674063
2011-10-16,59.399957469914355
2011-10-17,60.869933945471395
2011-10-18,65.1528607170709
2011-10-19,69.7839178763054
2011-10-20,83.57068624003385
2011-10-21,98.25884444285704
2011-10-22,106.78003515499988
2011-10-23,121.44201788565857
2011-10-24,102.16969485347816
2011-10-25,100.41122150477977
2011-10-26,110.89835789538563
2011-10-27,82.1542966142679
2011-10-28,78.58079718623938
2011-10-29,95.12174129110136
2011-10-30,120.6709007195727
2011-10-31,111.47076368282484
2011-11-01,155.1248845614141
2011-11-02,272.71514504881134
2011-11-03,300.4636133093808
2011-11-04,343.8410733170503
2011-11-05,320.12787650397235
2011-11-06,338.82608207102516
2011-11-07,315.10021365721775
2011-11-08,298.2246050826034
2011-11-09,304.33080541767544
2011-11-10,294.89166448240127
2011-11-11,319.5391777689085
2011-11-12,304.8941552319513
2011-11-13,293.68212031517464
2011-11-14,308.100092168446
2011-11-15,312.4745589719494
2011-11-16,301.0577998109053
2011-11-17,329.8930319627382
2011-11-18,334.6854907111724
2011-11-19,333.5691979466061
2011-11-20,359.69702938237157
2011-11-21,327.8852987937876
2011-11-22,322.76581222215447
2011-11-23,342.73145957474526
2011-11-24,298.0705318725717
2011-11-25,333.4350945398655
2011-11-26,323.6162613463392
2011-11-27,338.6809889887889
2011-11-28,331.4752149496447
2011-11-29,331.24871757299434
2011-11-30,418.24089845001856
2011-12-01,413.23026453095
2011-12-02,496.7708308434373
2011-12-03,515.1652990577522
2011-12-04,449.2241219193581
2011-12-05,454.12345181297866
2011-12-06,506.015832161795
2011-12-07,499.4472016217053
2011-12-08,452.82730902330127
2011-12-09,425.2365236178963
2011-12-10,477.4780421795692
2011-12-11,501.353064150746
2011-12-12,476.7248008292478
2011-12-13,284.3424686318085
2011-12-14,301.84436557165554
2011-12-15,386.91216709342035
2011-12-16,411.59840773463804
2011-12-17,371.96683272397115
2011-12-18,399.8414925726848
2011-12-19,346.26146095683754
2011-12-20,375.22680259401267
2011-12-21,433.42543933275215
2011-12-22,515.7190976307812
2011-12-23,301.36704283848445
2011-12-24,214.43653647967957
2011-12-25,208.12514681379443
2011-12-26,249.1981850469557
2011-12-27,260.49387026984846
2011-12-28,286.6259451054183
2011-12-29,525.3798325810994
2011-12-30,583.09389817053
2011-12-31,530.0686844167191
2012-01-01,524.2983539314192
2012-01-02,588.1653764081254
2012-01-03,602.776637269931
2012-01-04,609.385649817785
2012-01-05,605.0018960563757
2012-01-06,561.829219284691
2012-01-07,463.6278515542472
2012-01-08,294.1546619087351
2012-01-09,210.83008196409386
2012-01-10,204.79183455965386
2012-01-11,258.92627881975284
2012-01-12,409.65282742781847
2012-01-13,578.288043467227
2012-01-14,581.9305942898172
2012-01-15,322.64274024861754
2012-01-16,313.08203945307764
2012-01-17,257.23426026335426
2012-01-18,236.72091529605706
2012-01-19,168.64452859101178
2012-01-20,216.34386300425976
2012-01-21,225.5093202057235
2012-01-22,209.97912684499565
2012-01-23,249.86763412438248
2012-01-24,200.52314464833125
2012-01-25,263.11925898033974
2012-01-26,249.16461648099525
2012-01-27,261.9820876411418
2012-01-28,373.5825183459714
2012-01-29,525.9603380036358
2012-01-30,500.93005554515906
2012-01-31,324.80643438881367
2012-02-01,426.02380395083475
2012-02-02,591.3651174850875
2012-02-03,648.0565127491897
2012-02-04,728.3614714460177
2012-02-05,735.7625902849313
2012-02-06,724.318576342383
2012-02-07,765.010085745454
2012-02-08,776.238856584947
2012-02-09,723.8158872649873
2012-02-10,699.898578833635
2012-02-11,811.211482636918
2012-02-12,793.5902798334903
2012-02-13,820.76615963562
2012-02-14,796.951792633545
2012-02-15,819.961178895641
2012-02-16,785.684439045539
2012-02-17,817.734507372833
2012-02-18,842.940677385909
2012-02-19,885.7132867962492
2012-02-20,826.319523646353
2012-02-21,919.5937813949375
2012-02-22,851.268480835919
2012-02-23,959.7680068418388
2012-02-24,749.8391526918848
2012-02-25,820.568356584827
2012-02-26,919.4917227637819
2012-02-27,656.600258833939
2012-02-28,730.0827791424128
2012-02-29,579.386502369253
2012-03-01,709.861716188262
2012-03-02,893.019010505914
2012-03-03,1147.220222314945
2012-03-04,1207.7444097419232
2012-03-05,857.4667612792949
2012-03-06,835.327472635179
2012-03-07,600.3073687740325
2012-03-08,661.3845856714495
2012-03-09,583.4248620039692
2012-03-10,538.2655083289715
2012-03-11,649.6772887572391
2012-03-12,605.612243200732
2012-03-13,754.2518046828529
2012-03-14,791.7741926564887
2012-03-15,693.2467657031622
2012-03-16,742.6603864651091
2012-03-17,718.9723181036981
2012-03-18,831.675348674613
2012-03-19,966.72798333999
2012-03-20,970.111257701768
2012-03-21,992.352744691044
2012-03-22,913.1408150579907
2012-03-23,877.707479411503
2012-03-24,872.1318722752239
2012-03-25,797.959386004769
2012-03-26,855.361687920892
2012-03-27,867.2368761768963
2012-03-28,891.773378304949
2012-03-29,955.3870459817934
2012-03-30,897.376316956005
2012-03-31,861.712885602695
2012-04-01,883.9521649446064
2012-04-02,840.969754689087
2012-04-03,841.5323549558769
2012-04-04,789.165771970912
2012-04-05,741.616133563949
2012-04-06,779.0534837898252
