Date,HashRate
2014-09-17,101171839017
2014-09-18,107074017514
2014-09-19,101753397363
2014-09-20,107475774345
2014-09-21,97914937474
2014-09-22,88061148467
2014-09-23,96872631599
2014-09-24,93030415505
2014-09-25,86144804557
2014-09-26,84538008406
2014-09-27,78061924369
2014-09-28,87056101872
2014-09-29,96837317010
2014-09-30,96896821831
2014-10-01,80046324487
2014-10-02,77787919672
2014-10-03,73622275700
2014-10-04,72486212263
2014-10-05,62938880656
2014-10-06,63476013639
2014-10-07,60812003818
2014-10-08,67732267899
2014-10-09,68800856713
2014-10-10,71173394442
2014-10-11,72749807591
2014-10-12,67712802610
2014-10-13,74447351963
2014-10-14,63805117974
2014-10-15,65241298627
2014-10-16,67178162277
2014-10-17,67466772060
2014-10-18,61884947296
2014-10-19,64237724725
2014-10-20,67264766526
2014-10-21,62789626078
2014-10-22,59985172734
2014-10-23,66158832264
2014-10-24,68475426350
2014-10-25,66738176484
2014-10-26,66222173572
2014-10-27,56873039605
2014-10-28,59014795854
2014-10-29,65641823755
2014-10-30,62157545903
2014-10-31,69022484125
2014-11-01,73637454585
2014-11-02,76352611391
2014-11-03,76617929834
2014-11-04,79108752848
2014-11-05,70077707766
2014-11-06,64699089418
2014-11-07,72726912922
2014-11-08,81307345326
2014-11-09,100912967481
2014-11-10,114988386623
2014-11-11,106782013041
2014-11-12,97594476206
2014-11-13,102270637192
2014-11-14,96457674601
2014-11-15,105682291417
2014-11-16,108164348770
2014-11-17,101860542873
2014-11-18,105553487962
2014-11-19,106213156176
2014-11-20,103352748537
2014-11-21,97661762787
2014-11-22,97639916302
2014-11-23,102432954374
2014-11-24,97669651632
2014-11-25,91795550628
2014-11-26,98004980027
2014-11-27,94576271558
2014-11-28,80439710905
2014-11-29,94648223721
2014-11-30,89136727556
2014-12-01,85939604036
2014-12-02,88864141274
2014-12-03,90689657497
2014-12-04,99736046901
2014-12-05,87873383731
2014-12-06,95489022342
2014-12-07,90555431117
2014-12-08,96905913505
2014-12-09,99071385878
2014-12-10,90078868307
2014-12-11,93550696609
2014-12-12,93510975096
2014-12-13,95285116846
2014-12-14,87446418103
2014-12-15,90707314160
2014-12-16,89975774746
2014-12-17,93803159916
2014-12-18,84657473658
2014-12-19,85183997007
2014-12-20,76669438739
2014-12-21,83693123033
2014-12-22,80328525010
2014-12-23,84055851291
2014-12-24,84461485266
2014-12-25,80835505045
2014-12-26,82408510996
2014-12-27,90922818144
2014-12-28,86339283037
2014-12-29,86150991864
2014-12-30,88428259871
2014-12-31,81862474364
2015-01-01,86594711266
2015-01-02,83831173885
2015-01-03,84690664869
2015-01-04,90481558770
2015-01-05,85894773955
2015-01-06,85168509671
2015-01-07,83043985491
2015-01-08,81433441361
2015-01-09,91815744872
2015-01-10,76157600837
2015-01-11,74264037853
2015-01-12,78866700381
2015-01-13,80868512207
2015-01-14,80688831162
2015-01-15,89933109368
2015-01-16,89465414094
2015-01-17,88472986862
2015-01-18,87183992548
2015-01-19,86057958306
2015-01-20,87001525719
2015-01-21,87813697098
2015-01-22,83538922001
2015-01-23,102600560590
2015-01-24,99593823564
2015-01-25,104567259274
2015-01-26,98439650620
2015-01-27,98544551600
2015-01-28,88615778424
2015-01-29,86330202825
2015-01-30,89541666618
2015-01-31,86615390639
2015-02-01,86694755907
2015-02-02,103982342948
2015-02-03,105402205850
2015-02-04,104087280648
2015-02-05,98062435926
2015-02-06,97790059093
2015-02-07,97592038783
2015-02-08,94021488717
2015-02-09,96361180191
2015-02-10,103708819188
2015-02-11,97311489655
2015-02-12,92915094816
2015-02-13,104903466961
2015-02-14,97929485619
2015-02-15,96856137006
2015-02-16,94453845410
2015-02-17,99368252410
2015-02-18,100418524967
2015-02-19,100622800261
2015-02-20,111831571519
2015-02-21,103557192813
2015-02-22,103290422976
2015-02-23,89947948097
2015-02-24,102975504638
2015-02-25,95324460072
2015-02-26,97535823220
2015-02-27,103325805806
2015-02-28,100815066834
2015-03-01,107913411555
2015-03-02,99518175481
2015-03-03,88980149832
2015-03-04,104945541801
2015-03-05,97239849235
2015-03-06,116069121672
2015-03-07,116286286396
2015-03-08,109451333060
2015-03-09,105816239013
2015-03-10,104085847892
2015-03-11,101575737953
2015-03-12,110640589444
2015-03-13,103437661866
2015-03-14,101529281185
2015-03-15,105281541561
2015-03-16,102440582948
2015-03-17,97427920820
2015-03-18,101153655024
2015-03-19,103452453442
2015-03-20,112505597130
2015-03-21,113189915482
2015-03-22,122859692141
2015-03-23,110314252917
2015-03-24,113858449280
2015-03-25,114387379851
2015-03-26,116995834790
2015-03-27,112108617393
2015-03-28,114671556921
2015-03-29,101811391212
2015-03-30,105794017040
2015-03-31,89954529686
2015-04-01,78949526531
2015-04-02,89082155837
2015-04-03,86483632924
2015-04-04,77973937441
2015-04-05,92977818762
2015-04-06,97242923953
2015-04-07,105677886409
2015-04-08,99701865260
2015-04-09,86794669250
2015-04-10,83312509933
2015-04-11,80149213391
2015-04-12,88276223775
2015-04-13,90737557483
2015-04-14,88531696395
2015-04-15,92476606695
2015-04-16,85018207732
2015-04-17,89941522851
2015-04-18,96961814227
2015-04-19,99642259212
2015-04-20,90645294561
2015-04-21,84330731751
2015-04-22,88195017111
2015-04-23,84347749723
2015-04-24,75641470970
2015-04-25,88994633644
2015-04-26,98057220446
2015-04-27,92673903727
2015-04-28,78361000879
2015-04-29,71348940317
2015-04-30,95309390980
2015-05-01,98830265297
2015-05-02,96784818258
